myear,site,species,season,j.wk,stratum.prv
2017,LOS,chs,fall,37,a
2017,LOS,chs,fall,38,b
2017,LOS,chs,fall,39,c
2017,LOS,chs,fall,40,c
2017,LOS,chs,fall,41,c
2017,LOS,chs,fall,42,c
2017,LOS,chs,fall,43,d
2017,LOS,chs,fall,44,d
2017,LOS,chs,fall,45,e
2017,LOS,chs,fall,46,f
2017,LOS,chs,fall,47,f
2017,LOS,chs,spring,7,a
2017,LOS,chs,spring,8,a
2017,LOS,chs,spring,9,a
2017,LOS,chs,spring,10,a
2017,LOS,chs,spring,11,b
2017,LOS,chs,spring,12,b
2017,LOS,chs,spring,13,b
2017,LOS,chs,spring,14,b
2017,LOS,chs,spring,15,c
2017,LOS,chs,spring,16,c
2017,LOS,chs,spring,17,c
2017,LOS,chs,spring,18,c
2017,LOS,chs,spring,19,c
2017,LOS,chs,spring,20,c
2017,LOS,chs,spring,21,c
2017,LOS,sts,fall,37,a
2017,LOS,sts,fall,38,a
2017,LOS,sts,fall,39,b
2017,LOS,sts,fall,40,c
2017,LOS,sts,fall,41,c
2017,LOS,sts,fall,42,c
2017,LOS,sts,fall,43,c
2017,LOS,sts,fall,44,c
2017,LOS,sts,fall,45,c
2017,LOS,sts,fall,46,c
2017,LOS,sts,fall,47,c
2017,LOS,sts,spring,7,a
2017,LOS,sts,spring,8,a
2017,LOS,sts,spring,9,a
2017,LOS,sts,spring,10,a
2017,LOS,sts,spring,11,a
2017,LOS,sts,spring,12,a
2017,LOS,sts,spring,13,a
2017,LOS,sts,spring,14,a
2017,LOS,sts,spring,15,a
2017,LOS,sts,spring,16,a
2017,LOS,sts,spring,17,a
2017,LOS,sts,spring,18,a
2017,LOS,sts,spring,19,a
2017,LOS,sts,spring,20,a
2017,LOS,sts,spring,21,a
