myear,site,species,j.wk,date,TEMP,GAGE,MODE,PRE,H1,H2,H3,H4,POST
2017,LOS,chs,11,2017-03-14,5,156,SUB,,13,9,3,2,
2017,LOS,chs,11,2017-03-15,5,289,CAL,0,20,23,6,3,21
2017,LOS,chs,11,2017-03-17,,384,SUB,,5,9,3,0,
2017,LOS,chs,11,2017-03-18,5.5,307,SUB,,5,6,3,1,
2017,LOS,chs,12,2017-03-19,5.5,581,SUB,,1,1,4,1,
2017,LOS,chs,12,2017-03-20,4.5,439,CAL,0,4,1,1,0,2
2017,LOS,chs,12,2017-03-21,5,396,CAL,0,3,3,2,0,4
2017,LOS,chs,12,2017-03-22,6.5,462,SUB,,0,0,0,0,
2017,LOS,chs,12,2017-03-23,3,380,CAL,1,3,1,2,1,5
2017,LOS,chs,12,2017-03-24,4,334,CAL,0,1,3,3,2,3
2017,LOS,chs,12,2017-03-25,4,298,CAL,0,3,0,0,0,4
2017,LOS,chs,13,2017-03-26,6,265,SUB,,1,1,1,3,
2017,LOS,chs,13,2017-03-27,5,243,SUB,,2,2,0,1,
2017,LOS,chs,13,2017-03-28,5,219,SUB,,0,1,0,1,
2017,LOS,chs,13,2017-03-31,3.5,240,CAL,0,0,3,1,1,1
2017,LOS,chs,13,2017-04-01,4,218,CAL,0,0,1,2,1,2
2017,LOS,chs,15,2017-04-10,3,237,CAL,1,1,2,0,0,3
2017,LOS,chs,15,2017-04-11,3,206,CAL,0,0,1,1,1,0
2017,LOS,chs,15,2017-04-12,5,194,CAL,1,2,1,1,0,0
2017,LOS,chs,15,2017-04-13,6.5,206,SUB,,2,2,1,1,
2017,LOS,chs,15,2017-04-14,5.5,237,SUB,,3,4,1,0,
2017,LOS,chs,15,2017-04-15,5,204,CAL,0,0,2,2,0,0
2017,LOS,chs,16,2017-04-16,4,189,CAL,0,2,2,1,2,2
2017,LOS,chs,16,2017-04-17,7.5,186,SUB,,1,2,2,3,
2017,LOS,chs,16,2017-04-19,4,181,CAL,0,0,5,2,2,10
2017,LOS,chs,16,2017-04-21,7,175,SUB,,0,1,1,2,
2017,LOS,chs,16,2017-04-22,5,167,CAL,0,0,2,0,0,3
2017,LOS,chs,17,2017-04-23,6.5,182,CAL,0,0,2,1,2,0
2017,LOS,sts,11,2017-03-14,5,156,SUB,,3,0,0,0,
2017,LOS,sts,11,2017-03-15,5,289,CAL,0,2,1,1,1,6
2017,LOS,sts,11,2017-03-17,,384,SUB,,3,9,5,1,
2017,LOS,sts,11,2017-03-18,5.5,307,SUB,,4,3,4,4,
2017,LOS,sts,12,2017-03-19,5.5,581,SUB,,7,0,2,0,
2017,LOS,sts,12,2017-03-20,4.5,439,CAL,0,3,4,2,1,2
2017,LOS,sts,12,2017-03-21,5,396,CAL,0,0,4,2,1,4
2017,LOS,sts,12,2017-03-22,6.5,462,SUB,,1,1,2,3,
2017,LOS,sts,12,2017-03-23,3,380,CAL,0,1,1,2,0,9
2017,LOS,sts,12,2017-03-24,4,334,CAL,0,1,1,1,0,4
2017,LOS,sts,12,2017-03-25,4,298,CAL,0,4,1,1,1,1
2017,LOS,sts,13,2017-03-26,6,265,SUB,,3,3,3,1,
2017,LOS,sts,13,2017-03-27,5,243,SUB,,5,0,1,1,
2017,LOS,sts,13,2017-03-28,5,219,SUB,,1,1,0,1,
2017,LOS,sts,13,2017-03-31,3.5,240,CAL,0,0,1,0,0,1
2017,LOS,sts,13,2017-04-01,4,218,CAL,0,1,0,2,0,2
2017,LOS,sts,15,2017-04-10,3,237,CAL,0,0,0,0,0,1
2017,LOS,sts,15,2017-04-11,3,206,CAL,0,2,0,0,0,1
2017,LOS,sts,15,2017-04-12,5,194,CAL,0,0,1,0,0,1
2017,LOS,sts,15,2017-04-13,6.5,206,SUB,,0,1,0,0,
2017,LOS,sts,15,2017-04-14,5.5,237,SUB,,1,0,0,0,
2017,LOS,sts,15,2017-04-15,5,204,CAL,0,2,2,1,0,0
2017,LOS,sts,16,2017-04-16,4,189,CAL,0,1,1,0,0,0
2017,LOS,sts,16,2017-04-17,7.5,186,SUB,,0,2,1,1,
2017,LOS,sts,16,2017-04-19,4,181,CAL,0,1,1,1,1,1
2017,LOS,sts,16,2017-04-21,7,175,SUB,,0,0,0,1,
2017,LOS,sts,16,2017-04-22,5,167,CAL,0,0,2,1,1,1
2017,LOS,sts,17,2017-04-23,6.5,182,CAL,0,2,1,0,0,0
