species,j.wk,catch,prop,p24,pss,TE,mark,rec,pop_est
chs,11,59,0.709677419,93,66,0.053475936,187,10,1555
chs,12,7,0.634615385,52,33,0.053475936,187,10,206
chs,13,13,0.677419355,31,21,0.053475936,187,10,359
chs,15,14,0.75,28,21,0.073732719,217,16,253
chs,16,12,0.642857143,42,27,0.073732719,217,16,253
sts,11,36,0.647058824,34,22,0.037634409,372,14,1478
sts,12,16,0.607843137,51,31,0.037634409,372,14,699
sts,13,20,0.636363636,22,14,0.037634409,372,14,835
sts,15,2,0.769230769,13,10,0.037634409,372,14,69
sts,16,5,0.9,20,18,0.037634409,372,14,148
