site,myear,date,p4file,dow,j.wk,te.re.wk,time,temp,gage,mode,trapmode,startstop,revolutions,rpm,threerottime,but.new,but.re,coh.new,coh.re,coh.mort,hch.new,hch.pit,hch.pre,hch.re,hch.mort,chs.new,chs.pit,chs.clip,chs.nm,chs.pre,chs.re.true,chs.re.mort,chs.gen,chs.mort.c,chs.mort.m,chs.te.pit,chs.te.clip,chs.te.all,chs.re.pit,chs.re.clip,chs.re.all,sts.new,sts.pit,sts.clip,sts.nm,sts.scales,sts.re.true,sts.re.mort,sts.mort.c,sts.mort.m,sts.te.pit,sts.te.clip,sts.te.all,sts.re.pit,sts.re.clip,sts.re.all,comments
LOS,2017,2016-09-12,,Monday,37,37,11:00,,,STR,NR,STR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Started Trap for Fall Trapping
LOS,2017,2016-09-13,OGR16257.LT1,Tuesday,37,37,09:00,10,38,CON,CON,,,,00'40''50,0,0,,,,0,0,0,0,0,14,12,0,2,2,0,0,0,0,0,12,0,12,0,0,0,9,5,0,4,4,0,0,0,0,5,0,5,0,0,0,Replaced Rev counter.
LOS,2017,2016-09-14,OGR16258.LT1,Wednesday,37,37,09:30,10,38,CON,CON,,5913,,00'43''04,0,0,,,,0,0,0,0,0,35,26,6,2,3,0,0,0,1,0,26,6,32,7,0,7,8,6,2,0,8,0,0,0,0,6,2,8,0,0,0,
LOS,2017,2016-09-15,OGR16259.LT1,Thursday,37,37,09:15,10,37,CON,CON,,5880,,"00'49""80",1,0,,,,0,0,0,0,0,14,0,0,14,3,0,0,0,0,0,0,0,0,12,1,13,15,12,3,0,8,0,0,0,0,12,3,15,1,0,1,
LOS,2017,2016-09-16,OGR16260.LT1,Friday,38,37,10:00,11.5,36,CON,CON,,5245,,00'49''22,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,1,3,0,0,0,0,3,0,3,0,0,0,
LOS,2017,2016-09-17,OGR16261.LT1,Saturday,38,38,09:00,11.5,34,CON,CON,,"4,770",,00'57''54,0,0,,,,0,0,0,0,0,47,40,1,4,4,0,0,5,2,0,40,1,41,0,0,0,27,22,5,0,14,0,0,0,0,22,5,27,0,0,0,
LOS,2017,2016-09-18,OGR16262.LT1,Sunday,38,38,08:45,12.5,76,CON,CON,,5250,,00'39''10,0,0,,,,0,0,0,0,0,6,6,0,0,0,0,2,1,0,2,6,0,6,21,0,21,15,12,3,0,5,0,0,0,0,12,3,15,6,0,6,Morts likely due to large number of leaves
LOS,2017,2016-09-19,OGR16263.LT1,Monday,38,38,10:00,12,49,CON,CON,,5800,,00'42''66,2,0,,,,0,0,0,0,0,83,10,0,58,0,0,0,1,15,0,10,0,10,3,0,3,64,0,2,53,2,0,0,9,0,0,2,2,2,0,2,
LOS,2017,2016-09-20,OGR16264.LT1,Tuesday,38,38,09:40,11.5,41,CON,CON,,6123,,00'40''95,0,0,,,,0,0,0,0,0,67,20,0,47,0,0,0,2,0,0,20,0,20,1,0,1,47,20,5,22,3,0,0,0,0,19,5,24,0,0,0,
LOS,2017,2016-09-21,OGR16265.LT1,Wednesday,38,38,12:05,12,39,CON,CON,,7058,,00'40''85,0,0,,,,0,0,0,0,0,53,20,0,32,0,0,0,2,1,0,20,0,20,2,0,2,32,18,3,11,5,0,0,0,0,18,3,21,2,0,2,
