myear,site,species,season,date,j.wk,count,mark,est.rel.wk
2017,MIN,chs,fall,2016-09-20,38,2,PIT,37
2017,MIN,chs,fall,2016-09-24,39,1,PIT,37
2017,MIN,chs,fall,2016-09-25,39,1,PIT,38
2017,MIN,chs,fall,2016-09-26,39,1,PIT,37
2017,MIN,chs,fall,2016-09-26,39,1,PIT,38
2017,MIN,chs,fall,2016-10-14,41,1,PIT,38
2017,MIN,chs,fall,2016-10-14,41,1,PIT,39
2017,MIN,chs,fall,2016-10-25,43,1,PIT,42
2017,MIN,chs,fall,2016-11-01,44,1,PIT,38
2017,MIN,chs,fall,2016-11-01,44,1,PIT,40
2017,MIN,chs,fall,2016-11-13,46,1,PIT,38
2017,MIN,sts,fall,2016-09-19,38,1,PIT,37
2017,MIN,sts,fall,2016-11-09,45,1,LC,44
