myear,site,species,season,j.wk,stratum.prv
2017,MIN,chs,fall,37,a
2017,MIN,chs,fall,38,a
2017,MIN,chs,fall,39,b
2017,MIN,chs,fall,40,c
2017,MIN,chs,fall,41,d
2017,MIN,chs,fall,42,e
2017,MIN,chs,fall,43,f
2017,MIN,chs,fall,44,g
2017,MIN,chs,fall,45,h
2017,MIN,chs,fall,46,i
2017,MIN,chs,fall,47,i
2017,MIN,chs,spring,11,a
2017,MIN,chs,spring,12,a
2017,MIN,chs,spring,13,a
2017,MIN,chs,spring,14,b
2017,MIN,chs,spring,15,b
2017,MIN,chs,spring,16,b
2017,MIN,chs,spring,17,b
2017,MIN,chs,spring,18,b
2017,MIN,chs,spring,19,b
2017,MIN,chs,spring,20,b
2017,MIN,chs,spring,21,b
2017,MIN,sts,fall,37,a
2017,MIN,sts,fall,38,a
2017,MIN,sts,fall,39,a
2017,MIN,sts,fall,40,a
2017,MIN,sts,fall,41,a
2017,MIN,sts,fall,42,b
2017,MIN,sts,fall,43,c
2017,MIN,sts,fall,44,c
2017,MIN,sts,fall,45,c
2017,MIN,sts,fall,46,c
2017,MIN,sts,fall,47,c
2017,MIN,sts,spring,11,a
2017,MIN,sts,spring,12,a
2017,MIN,sts,spring,13,a
2017,MIN,sts,spring,14,a
2017,MIN,sts,spring,15,a
2017,MIN,sts,spring,16,a
2017,MIN,sts,spring,17,a
2017,MIN,sts,spring,18,a
2017,MIN,sts,spring,19,a
2017,MIN,sts,spring,20,a
2017,MIN,sts,spring,21,a
