myear,site,date,p4file,dow,j.wk,te.re.wk,time,temp,gage.cfs,gage,mode,trapmode,startstop,threerottime,revolutions,comments,but.new,but.re,chs.new,chs.pit,chs.nm,chs.pre,chs.re.true,chs.mort.c,chs.mort.m,chs.te.pit,chs.te.clip,chs.te.all,chs.re.pit,chs.re.clip,chs.re.all,sts.new,sts.pit,sts.nm,sts.scales,sts.re.true,sts.mort.c,sts.mort.m,sts.te.pit,sts.te.clip,sts.te.all,sts.re.pit,sts.re.clip,sts.re.all
2017,MIN,2016-09-12,,Monday,37,37,13:00,,,,STR,NR,STR,,,Started Fall Trapping Season ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,MIN,2016-09-13,OGR16257.MT1,Tuesday,37,37,11:15,11,56,0.97,CON,CON,,00'44.23,"5,515",,0,0,23,14,8,0,1,0,0,14,0,14,0,0,0,13,1,12,1,0,0,0,1,0,1,0,0,0
2017,MIN,2016-09-14,OGR16258.MT1,Wednesday,37,37,11:30,11,56,0.96,CON,CON,,00'41.76,"6,913",,0,0,24,21,3,3,0,0,0,21,6,27,4,0,4,5,0,0,4,0,0,0,0,5,5,0,0,0
2017,MIN,2016-09-15,,Thursday,37,37,11:45,12,56,0.96,CON,CON,,00'40.11,"6,341",,0,0,8,0,8,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,1,1
2017,MIN,2016-09-16,OGR16260.MT1,Friday,38,37,11:00,11,54,0.95,CON,CON,,00'40.77,"6,168",,0,0,14,12,1,1,0,0,0,12,1,13,2,0,2,3,1,0,3,0,0,0,1,2,3,0,0,0
2017,MIN,2016-09-17,OGR16261.MT1,Saturday,38,38,11:20,12,54,0.95,CON,CON,,00'40.'77,"6,419",,0,0,3,2,1,0,0,0,0,2,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2017,MIN,2016-09-18,OGR16262.MT1,Sunday,38,38,10:40,13.5,70,1.05,CON,CON,,00'38.'03,"6,425",,0,0,4,4,2,2,0,0,0,4,0,4,1,0,1,4,0,3,0,0,0,0,0,1,1,0,0,0
2017,MIN,2016-09-19,OGR16263.MT1,Monday,38,38,12:00,11,98,1.21,CON,CON,,00'35.30,"7,988",,0,0,39,39,0,0,0,0,0,39,10,49,0,0,0,41,8,13,13,1,0,0,8,20,28,1,0,1
2017,MIN,2016-09-20,OGR16264.MT1,Tuesday,38,38,11:15,12,74,1.07,CON,CON,,00'36.48,6966,,0,0,47,30,10,0,0,0,0,30,7,37,5,4,9,47,7,30,7,0,0,0,7,10,17,0,0,0
2017,MIN,2016-09-21,OGR16265.MT1,Wednesday,38,38,10:00,10,67,1.04,CON,CON,,00'37.70,"6,528",,0,0,200,20,179,0,1,0,0,20,0,20,6,1,7,20,7,8,4,0,0,0,7,5,12,0,2,2
2017,MIN,2016-09-22,OGR16266.MT1,Thursday,38,38,11:10,10,66,1.03,CON,CON,,00'37.'85,"7,266",,1,0,130,0,130,1,0,0,0,0,0,0,6,0,6,11,2,2,4,0,0,0,2,7,9,0,1,1
2017,MIN,2016-09-23,OGR16267.MT1,Friday,39,38,11:00,12,70,1.05,CON,CON,,00'40.54,"6,375",,1,0,135,20,113,0,1,1,0,20,0,20,1,0,1,13,7,4,9,0,0,0,7,2,9,0,0,0
