myear,site,date,jday,dow,te.re.wk,j.wk,time,temp,gage,mode,trapmode,startstop,comments,revolutions,chs.te.pit,chs.te.clip,chs.te.all,chs.re.pit,chs.re.clip,chs.re.all,sts.te.pit,sts.te.clip,sts.te.all,sts.re.pit,sts.re.clip,sts.re.all,chs.pit,chs.re.true,sts.pit,sts.re.true,chs.mort.c,chs.mort.m,sts.mort.c,sts.mort.m,hch.mort,chs.new,sts.new,hch.new,hch.re,chs.pre,BUT,WF,DAC,SUC,NPM,RSS,CLM,LAM,COT,chs.yoy,sts.yoy,chs.gen,sts.scales,chs.adult.w,chs.adult.h,sts.adult.w,chs.adult.w.m,chs.adult.h.m,sts.adult.mort,,,,,,,,,,
2018,Catherine,2017-07-01,182,SA,26,26,1600,15.9,1.00,CON,CON,,,466,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,6,4,,,,,,83,,,,,,,,,,,,,,,,,,,
2018,Catherine,2017-07-02,183,SU,26,27,1145,15.6,1.00,CON,CON,,,2468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,3,2,,,,,,64,4,,,,,,,,,,,,,,,,,,
2018,Catherine,2017-07-03,184,MO,27,27,1040,13.6,0.95,CON/STP,CON,STP,,2305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,4,9,,,,1,,59,,,,,,,,,,,,,,,,,,,
2018,Catherine,2017-07-05,186,WE,27,27,1020,13.6,0.90,STR,NR,STR,,,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Catherine,2017-07-06,187,TH,27,27,1015,15.0,0.85,CON,CON,,TE fish released daytime - too hot for NRD!,2732,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,,,,4,,,,,1,,59,15,,,,,,,,,,,,,,,,,,
2018,Catherine,2017-07-07,188,FR,27,27,1030,15.0,0.85,CON,CON,,TE fish released daytime - too hot for NRD!,399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,3,5,,,,,,12,4,,,,,,,,,,,,,,,,,,
2018,Catherine,2017-07-08,189,SA,27,27,1045,16.3,0.75,CON,CON,,Too hot to clip - all YOY downstream,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,2,1,,,,1,,15,,,,,,,,,,,,,,,,,,,
2018,Catherine,2017-07-09,190,SU,27,28,1032,16.9,0.70,CON,CON,,Too hot to clip - all YOY downstream,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,,2,,,,,,6,6,,,,,,,,,,,,,,,,,,
2018,Catherine,2017-07-10,191,MO,28,28,1015,15.5,0.70,CON,CON,,,2712,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,,,1,3,7,,,,,,21,,,,,,,,,,,,,,,,,,,
2018,Catherine,2017-07-11,192,TU,28,28,0945,13.2,0.70,CON,CON,,TE fish released daytime.,2482,0,0,0,0,0,0,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,,,,,2,2,,,,,1,39,,,,,,,,,,,,,,,,,,,
2018,Catherine,2017-07-12,193,WE,28,28,0909,12.5,0.70,CON,CON,,,2571,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,0,,,,,2,3,,,,,,57,1,,,,,,,,,,,,,,,,,,
2018,Catherine,2017-07-13,194,TH,28,28,1025,15.2,0.60,CON,CON,,TE fish released daytime. Cone barely spinning.,1588,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,,,,1,2,,,,,,22,4,,,,,,,,,,,,,,,,,,
2018,Catherine,2017-07-14,195,FR,28,28,1045,16.4,0.60,INT,INT,,Too hot to clip - all YOY downstream.  INT due to low flows - weir rebuilt to incrrease flows.,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,6,,,,1,,7,,,,,,,,,,,,,,,,,,,
2018,Catherine,2017-07-15,196,SA,28,28,0515,17.4,0.50,CON,CON,,Too hot to clip - all YOY downstream,2643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,,,,,2,20,,,,,,83,4,,,,,,,,,,,,,,,,,,
2018,Catherine,2017-07-16,197,SU,28,29,0800,14.3,0.50,CON,CON,,No fish marked - all YOY downstream,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,,,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,
2018,Catherine,2017-07-17,198,MO,29,29,,,,CON,CON,,Trap running but not checked on 7/17.,,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Catherine,2017-07-18,199,TU,29,29,0900,13.6,0.50,CON/STP,CON,STP,Cone raised; water too low,4800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,11,21,,,,1,,201,22,,,,,,,,,,,,,,,,,,
2018,Catherine,2017-09-18,261,MO,38,38,1310,10.5,0.20,STR,NR,STR,,,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Catherine,2017-09-19,262,TU,38,38,1335,9.6,0.30,CON,CON,,,-,40,0,40,0,0,0,41,10,51,0,0,0,40,1,41,0,0,0,0,0,0,195,56,,,,,1,,3,,,,,,,,4,10,,,,,,,,,,,,,,,,
2018,Catherine,2017-09-20,263,WE,38,38,1100,9.7,0.50,CON,CON,,,378,20,0,20,2,0,2,22,10,32,13,1,14,20,2,22,0,0,0,0,0,0,197,40,,,,,,,,,,,,,,,2,11,,,,,,,,,,,,,,,,
2018,Catherine,2017-09-21,264,TH,38,38,1140,9.0,0.20,INT,INT,,"Cone was stopped on arrival; started to spin on its own while clearing. Raised up 2"".",3999,20,0,20,10,0,10,45,5,50,9,2,11,20,2,45,0,0,0,0,0,0,354,104,,,4,,,,5,,,,,,,,4,4,,,,,,,,,,,,,,,,
2018,Catherine,2017-09-22,265,FR,38,38,1330,9.4,0.20,CON,CON,,LAA059394,4373,20,0,20,17,0,17,51,5,56,23,0,23,20,3,51,0,0,0,0,0,0,425,148,,,3,2,8,,4,,,,,,,,4,3,,,,,,,,,,,,,,,,
2018,Catherine,2017-09-23,266,SA,38,38,1100,8.8,0.15,CON,CON,,,3941,17,0,17,11,0,11,25,5,30,19,2,21,17,3,25,0,0,0,0,0,0,389,82,,,2,4,4,1,3,,,,,,,,4,2,,,,,,,,,,,,,,,,
2018,Catherine,2017-09-24,267,SU,38,39,1110,7.6,0.10,CON,CON,,LAA061000,4021,20,0,20,9,0,9,20,5,25,15,4,19,20,2,20,0,0,0,0,0,0,232,51,,,3,,4,,4,,,,,,,,4,1,,,,,,,,,,,,,,,,
2018,Catherine,2017-09-25,268,MO,39,39,1106,9.8,0.10,CON,CON,,RVN003219,1880,20,0,20,7,0,7,13,5,18,6,1,7,20,1,13,0,0,0,0,0,0,113,18,,,1,,3,,1,,,,,,,,4,11,,,,,,,,,,,,,,,,
2018,Catherine,2017-09-26,269,TU,39,39,1040,11.0,0.10,CON,CON,,2 PIT tags used from old vial LAA048238,3585,15,0,15,6,0,6,8,2,10,8,2,10,15,1,8,0,0,0,0,0,0,101,13,,,,,,,6,,,,,,,,2,2,,,,,,,,,,,,,,,,
2018,Catherine,2017-09-27,270,WE,39,39,1043,10.7,0.10,CON,CON,,LAA60923,4069,9,0,9,11,0,11,6,0,6,5,1,6,10,0,6,0,0,1,0,0,0,123,7,,,1,,,2,7,,,,,,,,2,,,,,,,,,,,,,,,,,
2018,Catherine,2017-09-28,271,TH,39,39,915,9.8,0.10,CON,CON,,,1678,10,0,10,5,0,5,8,0,8,3,0,3,10,0,8,0,0,0,0,0,0,77,9,,,,,2,,4,,,,,,,,2,1,,,,,,,,,,,,,,,,
2018,Catherine,2017-09-29,272,FR,39,39,1010,10.2,0.10,CON,CON,,1 Brook Trout 208mm/96.4g,1381,10,0,10,7,0,7,6,0,6,4,0,4,10,0,6,0,0,0,0,0,0,79,6,,,,,1,,10,,,,,,,,2,,,,,,,,,,,,,,,,,
2018,Catherine,2017-09-30,273,SA,39,39,1150,12.7,0.10,CON,CON,,,267,10,0,10,6,0,6,4,0,4,1,0,1,10,0,4,0,0,0,0,0,0,31,4,,,,,2,,5,,,,,,,,2,,,,,,,,,,,,,,,,,
2018,Catherine,2017-10-01,274,SU,39,40,925,10.4,0.15,CON,CON,,,3759,10,0,10,4,0,4,5,0,5,2,0,2,10,0,5,0,0,0,0,0,0,90,5,,,,,1,,4,,,,,,,,2,5,,,,,,,,,,,,,,,,
2018,Catherine,2017-10-02,275,MO,40,40,1257,9.9,0.20,CON,CON,,1 12mm tag no scan,5347,10,0,10,8,0,8,19,1,20,3,0,3,10,0,19,0,0,0,0,0,0,133,20,,,,,,,5,,,,,,,,2,8,,,,,,,,,,,,,,,,
