site,myear,date,p4file,dow,j.wk,te.re.wk,time,temp,gage,mode,trapmode,startstop,revolutions,rpm,threerottime,but.new,chs.new,chs.pit,chs.clip,chs.nm,chs.pre,chs.re.true,chs.mort.c,chs.mort.m,chs.te.pit,chs.te.clip,chs.te.all,chs.re.pit,chs.re.clip,chs.re.all,sts.new,sts.pit,sts.clip,sts.nm,sts.scales,sts.re.true,sts.mort.c,sts.mort.m,sts.te.pit,sts.te.clip,sts.te.all,sts.re.pit,sts.re.clip,sts.re.all,comments
MIN,2018,2017-09-15,,Friday,37,37,,,,STR,NR,STR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trap started. Cone set on four 2x4s on each side
MIN,2018,2017-09-16,OGR-2017-259-MT1,Saturday,37,37,,,0.98,CON,CON,,"6,630",,00'42.04,0,53,25,0,28,12,1,0,0,25,0,25,0,0,0,9,4,3,2,7,0,0,0,4,3,7,0,0,0,
MIN,2018,2017-09-17,OGR-2017-260-MT1,Sunday,38,37,,,0.97,CON,CON,,"6,450",,00'40.98,0,60,34,0,26,16,0,0,0,34,0,34,14,0,14,9,2,6,1,6,0,0,0,2,6,8,2,0,2,
MIN,2018,2017-09-18,OGR-2017-261-MT1,Monday,38,38,,,0.99,CON,CON,,"6,335",,00'53.54,1,107,20,0,87,15,0,0,0,20,0,20,20,0,20,9,3,3,3,3,0,0,0,3,3,6,0,2,2,
MIN,2018,2017-09-19,OGR-2017-262-MT1,Tuesday,38,38,,,1.1,CON,CON,,"6,612",,00'33.82,0,400,40,0,360,9,2,0,0,20,0,20,14,0,14,45,11,22,12,18,0,0,0,11,22,33,1,0,1,
MIN,2018,2017-09-20,OGR-2017-263-MT1,Wednesday,38,38,,,1.25,CON,CON,,8370,,00'31.57,1,1019,60,0,955,7,4,2,0,20,0,20,9,0,9,142,18,41,83,23,0,1,0,17,41,58,3,2,5,
MIN,2018,2017-09-21,OGR-2017-264-MT1,Thursday,38,38,,,1.22,CON,CON,,"8,250",,00'30.99,1,676,40,0,636,6,7,0,0,20,0,20,8,0,8,129,15,15,99,11,0,0,0,15,15,30,3,3,6,
MIN,2018,2017-09-22,OGR-2017-265-MT1,Friday,38,38,,,1.12,CON,CON,,"7,653",,00'34.35,1,349,0,0,349,6,2,0,0,0,0,0,7,0,7,40,10,17,13,5,0,0,0,10,17,27,2,4,6,
MIN,2018,2017-09-23,OGR-2017-266-MT1,Saturday,38,38,,,1.09,CON,CON,,"7,695",,00'33.85,1,611,0,0,611,5,2,0,0,0,0,0,2,0,2,42,4,0,38,2,0,0,0,0,0,0,4,11,15,
MIN,2018,2017-09-24,OGR-2017-267-MT1,Sunday,39,38,,,1.06,CON,CON,,,,00'36.60,0,245,20,0,225,7,1,0,0,20,0,20,0,0,0,25,3,13,9,3,0,0,0,3,13,16,0,0,0,
MIN,2018,2017-09-25,OGR-2017-268-MT1,Monday,39,39,,,1.06,CON,CON,,"7,025",,00'35.45,0,189,15,0,174,3,0,0,0,15,0,15,9,0,9,9,3,2,4,1,0,0,0,3,2,5,0,0,0,
MIN,2018,2017-09-26,OGR-2017-269-MT1,Tuesday,39,39,,,1.06,CON,CON,,"7,338",,00'34.90,2,416,20,0,396,3,2,0,0,20,0,20,7,0,7,18,7,9,2,2,0,0,0,7,9,16,0,2,2,
MIN,2018,2017-09-27,OGR-2017-270-MT1,Wednesday,39,39,,,1.08,CON,CON,,7445,,00'35.54,1,262,15,0,247,1,2,0,0,15,0,15,6,0,6,25,8,16,1,2,0,0,0,8,16,24,5,2,7,
MIN,2018,2017-09-28,OGR-2017-271-MT1,Thursday,39,39,,,1.07,CON,CON,,"7,150",,00'37.07,0,318,0,0,318,0,2,0,0,0,0,0,8,0,8,13,8,3,2,3,0,1,0,8,3,11,2,2,4,
MIN,2018,2017-09-29,OGR-2017-272-MT1,Friday,39,39,,,1.06,CON,CON,,"7,638",,00'36.33,0,161,0,0,161,0,3,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
MIN,2018,2017-09-30,OGR-2017-273-MT1,Saturday,39,39,,,1.05,CON,CON,,"7,054",,00'36.88,2,123,0,0,123,3,0,0,0,0,0,0,0,0,0,6,3,0,3,0,0,0,0,0,0,0,0,0,0,
MIN,2018,2017-10-01,OGR-2017-274-MT1,Sunday,40,39,,,1.14,CON,CON,,"7,545",,00'34.00,1,223,20,0,203,0,1,0,0,20,0,20,0,0,0,13,4,5,4,6,0,0,0,4,5,9,0,0,0,
MIN,2018,2017-10-02,OGR-2017-275-MT1,Monday,40,40,,,1.17,CON,CON,,"7,870",,00'32.35,0,131,20,0,111,0,1,0,0,20,0,20,7,0,7,16,3,11,2,6,0,0,0,3,11,14,0,0,0,
MIN,2018,2017-10-03,OGR-2017-276-MT1,Tuesday,40,40,,,1.12,CON,CON,,"7,678",,00'33.91,0,103,20,0,83,0,0,0,0,20,0,20,14,0,14,9,1,6,2,3,0,0,0,1,6,7,1,4,5,
MIN,2018,2017-10-04,OGR-2017-277-MT1,Wednesday,40,40,,,1.07,CON,CON,,"7,232",,00'37.57,3,178,20,0,158,0,1,1,0,20,0,20,9,0,9,4,3,1,0,3,0,0,0,3,1,4,0,0,0,
MIN,2018,2017-10-05,OGR-2017-278-MT1,Thursday,40,40,,,1.05,CON,CON,,"7,200",,00'37.30,1,67,20,0,47,0,1,0,1,20,0,20,7,0,7,2,1,1,0,1,0,0,0,1,1,2,0,0,0,
MIN,2018,2017-10-06,OGR-2017-279-MT1,Friday,40,40,,,1.05,CON,CON,,"7,212",,00'37.54,0,72,20,0,52,1,0,0,0,0,0,0,11,0,11,2,1,1,0,2,0,0,0,0,0,0,0,0,0,
